24.0600,24.2599,23.7550
23.4500,24.1000,23.1300
23.6600,23.6999,22.7000
23.1200,23.6300,22.8300
23.7100,23.9600,23.4700
23.9600,24.4500,23.9600
24.4500,24.9650,24.4400
24.9300,25.2900,24.8800
25.1400,25.3700,24.5800
24.8500,24.9100,24.3500
24.3800,24.7850,24.3550
24.6700,24.7200,24.2600
24.3400,24.9700,24.1800
25.1300,25.2500,24.9900
25.0500,25.3400,24.9200
26.0100,26.7900,25.5500
26.1700,26.6600,25.9600
26.4100,26.4900,26.1400
26.3200,26.8600,26.3100
26.7600,26.8300,26.3600
26.7500,26.8700,26.5200
26.6300,27.6800,26.5500
27.4300,27.4300,26.5700
26.7800,26.9800,26.4550
26.6800,27.0500,26.2100
26.9000,27.1300,26.7200
27.0700,27.1900,26.4400
25.9500,26.2700,25.7000
25.9000,26.4800,25.6500
26.6500,26.7700,25.9800
25.9000,26.0400,25.3210
25.8300,26.5000,25.8000
26.2000,26.6000,26.0900
26.3700,26.6200,26.1300
26.4600,26.5650,25.9700
26.1100,26.2500,25.6850
25.8800,26.2100,25.6600
26.3900,27.0900,26.2800
27.0400,27.1200,26.7000
26.4300,26.8750,26.3200
26.5000,26.5300,25.8900
25.7900,26.4600,25.7100
26.3200,26.5500,26.1600
26.2900,26.8500,26.2350
26.5650,26.8900,26.5050
26.6000,26.7800,26.2300
26.0300,26.0500,25.2300
25.2900,25.4300,24.9400
24.9800,25.0850,23.8200
24.2900,25.0050,24.2300
25.2200,25.6800,25.0100
25.4700,25.9750,25.4400
25.4300,25.5400,24.8900
25.2600,25.5350,25.1800
25.2700,25.4950,24.9000
24.8400,25.6400,24.8200
25.8500,26.2600,25.5200
25.7200,25.9900,25.4900
25.7400,26.7000,25.7400
26.8800,27.0700,26.1900
26.9500,27.1900,26.9400
27.0800,27.4400,27.0100
27.4700,27.4700,27.0601
27.3000,27.4500,26.7250
