605.1200,611.6200,605.0200
610.7900,611.5000,603.1500
606.5900,608.3400,603.5600
611.2800,615.3500,606.0000
613.0300,614.4400,603.7000
594.4000,605.9000,587.7100
607.3800,609.6800,598.5100
574.4600,580.8000,570.0000
579.7600,580.4000,570.3600
575.0100,585.8300,571.5900
590.9200,599.4400,587.8200
603.2300,611.7000,602.7200
615.9050,616.4000,603.0000
602.8400,610.6900,600.2500
613.6300,617.9800,611.5600
617.2900,624.8680,615.2600
622.7700,625.0000,618.0400
619.3900,623.8800,617.1000
617.8500,621.7300,617.8000
618.7100,621.7600,618.7000
623.3900,630.0000,623.2500
631.8700,638.6100,630.2100
631.3000,634.0000,627.7500
631.2100,636.7600,630.5000
640.0000,648.1900,638.8100
650.0100,665.1500,649.9000
670.8200,674.8800,650.3300
654.4200,669.0000,648.1100
666.1100,669.9000,661.1500
659.5100,669.4800,655.5500
679.9900,680.8700,673.5400
674.9770,676.1000,670.6730
675.2500,677.6700,672.6000
670.6400,671.5540,662.8530
667.2500,668.6000,657.2500
665.7600,675.1400,664.5000
675.5700,676.3500,669.6000
673.1700,678.2900,670.8000
678.0500,682.4800,675.7700
680.4500,683.2900,662.1000
665.1100,670.1000,656.5000
666.8500,669.9000,656.0000
677.3700,685.5000,674.7700
689.9550,696.9800,687.8900
699.3500,699.8000,694.6100
699.8800,702.3300,696.4200
700.2600,703.9900,699.5700
699.1600,700.0600,693.6200
702.4100,705.0700,699.3617
686.8600,695.1200,683.0000
688.2600,692.7800,673.0000
668.7400,672.6900,661.2000
664.2900,682.1700,660.3500
678.7500,681.1100,666.7500
671.1600,676.7500,656.5000
661.8100,666.3500,650.6500
664.8600,671.8600,662.6300
671.2500,674.2500,665.5500
665.2000,666.0000,651.2800
646.8800,647.5600,636.1100
638.6500,640.4900,623.5500
639.7400,644.9800,637.0000
646.5000,647.2000,628.1000
629.5600,635.3800,625.3000
632.3500,635.1300,623.8500
635.3700,650.3000,631.0000
648.8700,652.7900,644.0000
639.5900,642.0600,630.0000
631.0500,631.7700,609.6200
612.4200,635.3800,610.7600
631.0000,633.9000,611.7000
621.4400,626.5500,610.6400
620.0000,622.0000,605.5500
609.4300,614.0000,591.0000
594.8800,601.9600,587.7000
598.2200,603.0000,594.1700
595.8900,596.9500,574.7500
583.5150,587.7700,577.6000
590.2300,590.7400,580.0900
573.8350,574.5400,555.7500
560.6300,562.2300,535.2900
540.4200,554.8800,533.7200
554.1500,554.5000,538.6500
538.9100,550.4800,536.3600
545.5000,547.4500,536.1800
537.5300,539.5000,522.6200
525.2000,530.0000,505.7501
540.7100,567.5000,539.8800
571.9100,571.9500,554.5800
564.2500,567.3700,556.6000
567.1700,572.0000,562.6000
575.9000,590.0000,573.7100
589.5500,590.4200,580.1000
577.2700,585.8000,572.2600
590.2150,594.2500,585.2500
586.7900,588.4000,582.6800
593.6500,594.5900,585.5000
581.8000,581.8000,572.1300
568.9100,569.2500,538.7700
528.9400,553.3100,518.6300
553.4000,555.2000,530.0000
525.0000,538.5100,521.5800
539.7700,549.5600,537.3700
547.7700,548.0000,536.2701
531.1500,537.6399,525.8000
514.7500,518.1320,505.5800
508.9300,520.0000,501.2300
525.0000,534.9000,520.2500
531.4700,533.7000,525.5000
530.0000,530.2000,518.8800
512.4700,519.6700,510.2400
